"eksis_k","eksis";"aktiv";"begrebsdefinition"
1;"Eksisterende";1;"Mulighed for at registrere om en planlagte rute består af eksisterende veje og stier."
2;"Nyanlæg";1;"Mulighed for at registrere om en planlagte rute forudsætter nyanlæg af veje og stier."
