"kort_type_k:";"kort_type_k";"aktiv";"begrebsdefinition"
1;"Korridorkort";1;"Et oversigtskort, der viser de helt overordnede planer om nye ruteforbindelser mellem to punkter (f.eks. mellem to byer)."
2;"Planlægningskort";1;"Et planlægningskort, med detaljerede angivelser af mulige vej- og stiforløb af ruteforbindelserne - med mulighed for at angive ruteforløb, alternative forløb og perspektivruter"
