"kode";"tekst";"aktiv";"begrebsdefinition"
1;"Overjordisk";1;"Normal placering – den røde i gadebilledet."
2;"Underjordisk";1;"Brandhane placeret under jorden/under dæksel."
3;"I bygning";1;"Brandhane indvendig i bygning."
8;"Andet";1;"Anden placering end ovenstående muligheder."
9;"Ukendt";1;"Mangler vide"
