"klasse_kode";"klasse";"aktiv";"begrebsdefinition"
1;"Naturligt";1;"Ved naturlige vandløb forstås vandløb, der har eksisteret fra naturens hånd. Det ændrer ikke på vandløbets status som naturligt, at der er foretaget regulering af vandløbet fx uddybning, udretning eller omlægning. Alle vandløb som naturen har skabt også selvom det efterfølgende er blevet udrettet og/eller rørlagt."
2;"Kunstigt";1;"Alle vandløb, der i modsætning til naturlige vandløb, er kunstigt anlagt (gravede grøfter og kanaler mv.) Kun 100% ren kunstige vandløb. F.eks. fra inddæmning og tørlægning af en fjord."
3;"Blødbund";1;"Se vandplan"
