"kaer_type_kode";"kaer_type";"aktiv";"begrebsdefinition"
1;"Ekstremrigkær";1;"Ekstremrigkær er moser. De er den danske vegetationstype, der kan indeholde flest plantearter. Udviklet bl.a. på kalkholdige moræneaflejringer med et meget højt næringsstof indhold. Artsrig moser og enge med konstant vandmættet jordbund på særligt kalkrig bund, således at den særlige rigkærsvegetation opstår. Med græsning eller slåning er vegetationen åben og lavtvoksende som regel med mange små starer og mosser. Uden græsning eller slåning udvikles mere højtvoksende og tilgroede typer, som efterhånden ændres til krat eller sumpskov. Ekstremrigkær adskiller sig fra rigkær ved forekomst af særlige plantearter som: Butblomstret siv"
2;"Ekstremfattigkær";1;"Moser karakteriseret af en ret ensartet græsagtig vegetation domineret af halvgræsser med tæt bunddække af tørvemoser, som ofte danner en gyngende hængesæk, der komplet dækker det minerogene søvand. Fattigkær er fugtige, næringsfattige områder med sur bund. Jordbundsforholdene betinger, at fattigkærene også er artsfattige."
