"kompleksitet_kode";"kompleksitet";"aktiv";"begrebsdefinition"
1;"Moderat";1;"områder hvor bakker med terrænhældninger mellem 6-12° er hyppige eller hvor op til 25% af jordbunden udgøres af andre jordtyper end den dominerende"
2;"Kompleks";1;"områder hvor bakker med terrænhældninger er større end 12° er hyppige eller hvor mere end 25% af jordbunden udgøres af andre jordtyper end den dominerende."
