"sted_metode_kode";"sted_metode";"aktiv";"begrebsdefinition"
1;"Kilometrering";1;"Stedfæstelse sker med udgangspunkt i en helkilometer. 7/134 læses som 134 meter fra 7-km stenen."
2;"Stationering";1;"Stedfæstelse sker med udgangspunkt i et startspunkt. 7/134 læses som 7134 meter fra vejens startpunkt (0 km)."
