"postnr";"postnr_by";"kommuner"
"8940";"Randers SV";"0710 Favrskov, 0730 Randers"
"8960";"Randers SØ";"0710 Favrskov, 0730 Randers"
"9681";"Ranum";"0820 Vesthimmerlands"
"8763";"Rask Mølle";"0766 Hedensted"
"7970";"Redsted M";"0773 Morsø"
"4420";"Regstrup";"0316 Holbæk"
"6760";"Ribe";"0561 Esbjerg"
"5750";"Ringe";"0430 Faaborg-Midtfyn"
"6950";"Ringkøbing";"0760 Ringkøbing-Skjern"
"4100";"Ringsted";"0259 Køge, 0316 Holbæk, 0320 Faxe, 0329 Ringsted, 0340 Sorø, 0370 Næstved"
"8240";"Risskov";"0751 Aarhus"
"4000";"Roskilde";"0169 Høje-Taastrup, 0265 Roskilde, 0350 Lejre"
"7870";"Roslev";"0779 Skive"
"4243";"Rude";"0330 Slagelse, 0370 Næstved"
"5900";"Rudkøbing";"0482 Langeland"
"4291";"Ruds Vedby";"0326 Kalundborg, 0340 Sorø"
"2960";"Rungsted Kyst";"0223 Hørsholm"
"8680";"Ry";"0615 Horsens, 0740 Silkeborg, 0746 Skanderborg"
"5350";"Rynkeby";"0440 Kerteminde"
"8550";"Ryomgård";"0706 Syddjurs, 0707 Norddjurs"
"5856";"Ryslinge";"0430 Faaborg-Midtfyn"
"4970";"Rødby";"0360 Lolland"
"6630";"Rødding";"0510 Haderslev, 0575 Vejen"
"6230";"Rødekro";"0580 Aabenraa"
"8840";"Rødkærsbro";"0740 Silkeborg, 0791 Viborg"
"2610";"Rødovre";"0101 København, 0167 Hvidovre, 0175 Rødovre"
"4673";"Rødvig Stevns";"0336 Stevns"
"6792";"Rømø";"0550 Tønder"
"8410";"Rønde";"0706 Syddjurs"
"3700";"Rønne";"0400 Bornholm"
"4683";"Rønnede";"0320 Faxe, 0370 Næstved"
"4581";"Rørvig";"0306 Odsherred"
"8471";"Sabro";"0710 Favrskov, 0746 Skanderborg, 0751 Aarhus"
"4990";"Sakskøbing";"0376 Guldborgsund"
"9493";"Saltum";"0849 Jammerbugt"
"8305";"Samsø";"0741 Samsø"
"4262";"Sandved";"0330 Slagelse, 0370 Næstved"
"4592";"Sejerø";"0326 Kalundborg"
"8600";"Silkeborg";"0740 Silkeborg, 0746 Skanderborg, 0756 Ikast-Brande"
"9870";"Sindal";"0813 Frederikshavn, 0860 Hjørring"
"4583";"Sjællands Odde";"0306 Odsherred"
"6093";"Sjølund";"0621 Kolding"
"9990";"Skagen";"0813 Frederikshavn"
"8832";"Skals";"0791 Viborg"
"5485";"Skamby";"0480 Nordfyns"
"8660";"Skanderborg";"0615 Horsens, 0727 Odder, 0746 Skanderborg, 0751 Aarhus"
"4050";"Skibby";"0250 Frederikssund"
"7800";"Skive";"0661 Holstebro, 0779 Skive, 0791 Viborg"
"6900";"Skjern";"0760 Ringkøbing-Skjern"
"2942";"Skodsborg";"0230 Rudersdal"
"2740";"Skovlunde";"0151 Ballerup, 0163 Herlev"
"5881";"Skårup Fyn";"0479 Svendborg"
"4230";"Skælskør";"0330 Slagelse"
"6780";"Skærbæk";"0550 Tønder"
"3320";"Skævinge";"0219 Hillerød, 0260 Halsnæs"
"8541";"Skødstrup";"0751 Aarhus"
"9520";"Skørping";"0840 Rebild"
