"velhold_f_type_kode";"velhold_f_type";"aktiv";"begrebsdefinition";"velhold_f_type_label"
261000;"Gravsted Pleje";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"GS01"
261010;"Gravsted Pleje - Individuel";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GS01a"
261020;"Gravsted Pleje - ledig";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GS01b"
261030;"Gravsted Pleje - bevaringsværdig";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GS01c"
262000;"Gravsted Udvidet pleje";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"GS02"
262010;"Gravsted Udvidet pleje - Individuel";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GS02a"
262020;"Gravsted Udvidet pleje - ledig";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GS02b"
262030;"Gravsted Udvidet pleje - bevaringsværdig";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GS02c"
263000;"Gravsted Ydelse";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"GS03"
263010;"Gravsted Ydelse - Gran";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GS03a"
263020;"Gravsted Ydelse - Krans";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GS03b"
263030;"Gravsted Ydelse - Pyntning";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GS03c"
263040;"Gravsted Ydelse - Blomster";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GS03d"
301000;"Bassin";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"VA01"
302000;"Sø";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"VA02"
302010;"Sø - vandhul";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"VA02a"
302020;"Sø - dam";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"VA02b"
302030;"Sø - parksø";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"VA02c"
302040;"Sø - voldgrav";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"VA02d"
302050;"Sø - kanal";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"VA02e"
303010;"Vandløb";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"VA03a"
304010;"Badestrand";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"VA04a"
305010;"Regnvandsbassin";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"VA05a"
401000;"Fast belægning";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"FB01"
401010;"Fast belægning - Asfalt";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB01a"
